ticker,market_cap,rank
JCI,81765922218.08661,140
REGN,80561666863.43994,141
MCO,78823677231.23932,142
SHW,78550174271.06396,143
ORLY,77351855450.59135,144
CDNS,77029686972.0,145
CSX,76827008417.3598,146
EOG,76755841832.89105,147
SNPS,76203372002.19635,148
MMM,76171351428.22266,149
CMI,76004817823.11975,150
ABNB,75949424305.57288,151
MDLZ,75408548500.44228,152
RCL,75197872236.06738,153
ECL,75107070802.5,154
ITW,74525927185.0586,155
SLB,74523763266.3743,156
EMR,74375700375.79373,157
CI,73689323964.64417,158
KMI,73374113954.62445,159
MSI,73219240670.6195,160
VLO,73093971413.4845,161
MNST,72323555737.09454,162
AEP,72038467340.87036,163
HLT,71418031375.03467,164
ROST,71254918625.47559,165
MPC,71076588990.7988,166
CRH,70765432016.125,167
PSX,70723303290.39682,168
AON,70223650369.89215,169
CVNA,69774364152.7196,170
CTAS,69113517736.91078,171
WBD,68723057679.45001,172
RSG,68427616084.15674,173
GM,68313436423.47345,174
CL,67834629361.68114,175
DASH,67529407468.47363,176
ELV,67415341094.92136,177
LHX,67258593565.80597,178
TDG,66760789166.328735,179
TRV,65866165499.46579,180
APD,65272721753.443115,181
NKE,65151623435.076996,182
NSC,64934999947.22113,183
SRE,63987392129.690186,184
DLR,63923266018.0932,185
HOOD,63120168431.08276,186
COR,62657360256.25421,187
OXY,62574477682.25339,188
PCAR,62297455236.30926,189
SPG,61773619370.757385,190
CIEN,61682310546.99512,191
TEL,61658155630.25119,192
APO,61571227712.705475,193
FTNT,61537175466.90765,194
TFC,60892122499.22504,195
BKR,60120329315.82887,196
MPWR,57875495968.50586,197
O,57732681857.79405,198
AFL,57689270777.0473,199
AZO,56634153381.5918,200
AJG,56457874813.84277,201
CTVA,56337333222.38159,202
BDX,56161177805.67261,203
OKE,55748445167.53816,204
LITE,55544558825.68359,205
TGT,55146490041.47779,206
D,54741921501.80502,207
FANG,54734605131.71913,208
ALL,53912084363.53107,209
GWW,53048788781.203125,210
TRGP,52826552941.4745,211
FAST,52731243214.30769,212
ETR,52626242694.76933,213
ZTS,51970950979.438896,214
VST,51523817576.01636,215
EA,51007962288.51128,216
FIX,50616313182.54602,217
ADSK,50392399353.02734,218
EXC,50199016595.665436,219
XEL,50131623402.92803,220
NDAQ,50110560419.85784,221
CAH,50105837563.37402,222
KEYS,50087473109.163666,223
AME,49986658196.000885,224
NXPI,49563174464.06853,225
PSA,49502922678.0,226
TER,49114732825.10834,227
COHR,47811622698.04889,228
COIN,47304687934.30473,229
EW,46992530126.953125,230
GRMN,46711246414.628296,231
MET,46692355794.89557,232
CARR,46543967717.02689,233
F,46388164665.3479,234
URI,46231819968.45557,235
IDXX,46046578468.52692,236
KR,45963832825.257866,237
EBAY,44451940551.75781,238
CMG,44269866834.70917,239
DAL,43903446989.0387,240
YUM,43813617421.32919,241
WAB,43099924007.7211,242
FITB,43027849054.757904,243
PYPL,42768649915.01505,244
HSY,42151611946.72014,245
ODFL,42039241799.067795,246
DDOG,41477956477.79086,247
ED,41331219895.285866,248
ROK,41195518664.16229,249
DHI,41116352823.42554,250
AIG,40944866573.569885,251
PEG,40486428805.1734,252
CBRE,40478600723.394455,253
AMP,40181720872.5,254
MSCI,40030864103.349915,255
VTR,39536104231.12482,256
PCG,38827105919.70976,257
ROP,38750013872.72839,258
NUE,38562243014.61296,259
WEC,38080797570.986206,260
HIG,37896973174.65784,261
CCI,37837830267.860504,262
EQT,37674934947.43347,263
LYV,37650489625.8172,264
XYZ,36790652107.71561,265
SATS,36745008383.22084,266
VMC,36638895928.84082,267
TTWO,36486046651.09277,268
LVS,36416603936.35974,269
STT,36254755174.99391,270
MLM,36094650229.09827,271
MCHP,36023387273.918564,272
CCL,35722750958.96316,273
ADM,35289179790.68985,274
KDP,34720711552.376976,275
SYY,34633871051.69928,276
ACGL,34405268146.64416,277
WDAY,34211040481.567383,278
ARES,34011893883.565674,279
PRU,33999598937.98828,280
EME,33958714684.649963,281
AXON,33424528619.366455,282
KVUE,33111546123.574734,283
PAYX,32855272694.283005,284
RMD,32731482568.3768,285
A,32600578490.717438,286
HPE,32562449805.039574,287
HBAN,32451316805.479584,288
KMB,32128753912.19577,289
GEHC,32070354371.73941,290
NRG,32030580039.489746,291
CPRT,31804220564.69667,292
HAL,31720217023.738655,293
MTB,31567193479.662537,294
IRM,31154957503.026634,295
ATO,31100868367.323273,296
IR,30889730801.678123,297
AEE,30844066795.314964,298
CBOE,30838243783.552734,299
DVN,30817526665.679764,300
TPL,30802397500.760193,301
DTE,30712229910.562424,302
OTIS,30452396437.41632,303
FISV,30307953011.75315,304
XYL,30288124871.21913,305
CTSH,30083355608.17209,306
WAT,29848721722.670105,307
EXR,29738106029.744415,308
UAL,29678681129.544937,309
VICI,29594959866.413284,310
FE,29460127625.16941,311
TPR,29253660298.53955,312
TDY,29197953969.625854,313
DOW,29116518396.82306,314
PPL,29109380853.55777,315
IQV,28930455274.96338,316
JBL,28575141800.0,317
CNP,28514975949.36739,318
EIX,28255715281.12844,319
CHTR,28162855947.102356,320
RJF,27979510471.414246,321
EXPE,27947754058.208054,322
DOV,27918739714.42549,323
KHC,27883107971.05523,324
WTW,27450930321.94748,325
DG,27235388591.153564,326
NTRS,27092953244.087265,327
STZ,26915781872.935745,328
AWK,26901787431.934296,329
HUBB,26565383681.158264,330
CFG,26324197031.847107,331
CTRA,26322959232.843086,332
ROL,26152713866.43773,333
ES,26016015239.695587,334
FICO,25918328123.24341,335
VRSK,25749780035.63513,336
MTD,25734612332.733154,337
EL,25581336922.52133,338
STLD,25568845509.4756,339
ON,25482625632.06688,340
FOXA,25408907544.20913,341
VRSN,25352522094.726562,342
LYB,25201746037.457626,343
FOX,25126078262.487488,344
WRB,25109897912.317413,345
BIIB,24980502306.07422,346
EXE,24916076850.699005,347
BG,24915339310.838623,348
Q,24831603163.88346,349
CINF,24807038537.860107,350
SYF,24750958362.941986,351
DXCM,24571025136.0,352
CMS,24128456824.782562,353
FIS,24030864071.277954,354
ULTA,23976203021.81195,355
TSCO,23841080535.59201,356
EQR,23638112098.95523,357
AVB,23618037258.11348,358
OMC,23566942796.957092,359
PPG,23184421419.94171,360
RF,23068581381.825665,361
PHM,22945545698.73828,362
TSN,22802394018.098053,363
LH,22794598196.411133,364
BRO,22682185197.49848,365
NI,22625047740.733063,366
DRI,22567293000.0,367
KEY,22505577328.953186,368
SBAC,22332085464.11133,369
L,22195237811.137474,370
CHD,22138346068.374374,371
DGX,22089396637.103394,372
HUM,22048560867.42781,373
DLTR,22005094512.302124,374
EFX,22004957280.54709,375
VLTO,21982466739.56421,376
LEN,21817904083.135986,377
RL,21685705176.699097,378
WSM,21659731411.284683,379
STE,21571240732.49008,380
FSLR,20999101239.80713,381
SW,20996370858.225967,382
CPAY,20899969528.75,383
JBHT,20695708084.266663,384
ALB,20373212674.76935,385
GIS,20218780778.025154,386
CF,20190546297.397995,387
LDOS,20112236000.625,388
NTAP,20095202726.750336,389
CHRW,20004217373.35959,390
PFG,19949299571.46524,391
TROW,19497898877.016815,392
EXPD,19410099808.32582,393
MRNA,19230497604.03788,394
SNA,19047001451.92749,395
EVRG,19005350535.86142,396
DD,19000530304.09439,397
BR,18908622665.235367,398
INCY,18898415408.356796,399
LUV,18726586051.625935,400
LNT,18722461700.931908,401
NVR,18685085671.171875,402
IP,18616735097.966816,403
WST,18393784711.85852,404
AMCR,18377868024.775772,405
PKG,18295883004.874603,406
IFF,18264085071.361206,407
LULU,18230147021.18976,408
GPN,18171193701.24536,409
FTV,17973642529.70369,410
ZBH,17937412966.411476,411
HPQ,17606943450.466644,412
FFIV,17481340326.163666,413
CNC,17418580801.59767,414
WY,17397980399.99199,415
CSGP,17224157967.559097,416
ESS,17160248412.62268,417
PTC,17109856974.836792,418
HOLX,16968845705.952568,419
AKAM,16884274900.44873,420
CDW,16057435060.239143,421
HII,16023358952.066193,422
LII,15968812751.629272,423
BALL,15898653082.076935,424
TKO,15655434970.028488,425
INVH,15585049793.399693,426
NWS,15481543112.454615,427
TRMB,15458914142.911423,428
VTRS,15404922038.0,429
TXT,15374189391.925789,430
KIM,15219936599.50403,431
APTV,15186804006.05481,432
J,15149548753.650757,433
APA,15122696172.677078,434
MAA,15024551906.20829,435
DECK,14723142540.404274,436
NDSN,14659928873.447876,437
GPC,14529913299.173584,438
TYL,14490358713.4617,439
REG,14326602108.781746,440
PODD,14301268414.507568,441
IEX,14172182038.47351,442
PNR,14085609220.186752,443
NWSA,14082771842.004066,444
COO,13695080071.97351,445
MKC,13647197560.445824,446
BBY,13478344925.34961,447
SMCI,13378797859.956604,448
HST,13334630460.834671,449
ERIE,13248161241.755203,450
EG,13246555724.80185,451
UDR,13118761929.506378,452
AVY,13058973429.28714,453
DPZ,12794618173.952301,454
CLX,12712795248.28183,455
HAS,12657497818.995544,456
PNW,12380591281.512299,457
BF-B,12371236559.163214,458
ALGN,12306372406.581787,459
BEN,12169258387.377903,460
MAS,12139054190.22417,461
ALLE,12080180853.266785,462
HRL,12067732827.443413,463
GEN,11911871936.066935,464
DOC,11607309726.524506,465
JKHY,11446082007.513474,466
GNRC,11426667890.997528,467
IT,11285839496.077194,468
GL,11234100582.656296,469
GDDY,11181615198.86641,470
PSKY,10989561116.922346,471
SOLV,10976902569.038795,472
UHS,10948863957.684326,473
AIZ,10925444709.070831,474
WYNN,10662966607.0,475
ZBRA,10637131074.581116,476
CPT,10631835045.160057,477
TTD,10602388540.354166,478
SWK,10500468755.486916,479
MGM,10200422178.994751,480
AES,10179097146.309763,481
IVZ,10150342264.919111,482
SJM,10141296106.955246,483
DVA,9933092665.19165,484
RVTY,9864407916.526344,485
FRT,9280172641.623993,486
BXP,9212274505.29599,487
BLDR,9013206836.532082,488
AOS,8932145297.187195,489
HSIC,8819942324.87944,490
NCLH,8812530112.346632,491
BAX,8554303999.432236,492
FDS,8543217547.512817,493
TECH,8371033555.570145,494
SWKS,8369043192.298462,495
MOS,8367850929.247627,496
TAP,8361750588.369942,497
CRL,8243314667.86377,498
EPAM,7590335513.425812,499
CAG,7566483421.37978,500
POOL,7503244014.188538,501
ARE,7493507900.518902,502
CPB,6595000564.77449,503
